Circle,X(px),Y(px),X(mm),Y(mm),HasArrow,AtLineEnd,EndOfRef#,Reference#,"Origin(0,0)"
1,5,505,0.052,5.26,Yes,No,0,1,No
2,-87,503,-0.906,5.24,Yes,No,0,1,No
3,529,503,5.51,5.24,No,No,0,0,No
4,-266,500,-2.771,5.208,Yes,No,0,1,No
5,344,500,3.583,5.208,Yes,No,0,1,No
6,432,500,4.5,5.208,No,No,0,0,No
7,624,500,6.5,5.208,No,No,0,0,No
8,178,499,1.854,5.198,Yes,No,0,1,No
9,-348,498,-3.625,5.188,Yes,No,0,1,No
10,84,497,0.875,5.177,Yes,No,0,1,No
11,260,495,2.708,5.156,Yes,Yes,1,1,No
12,-182,493,-1.896,5.135,Yes,No,0,1,No
13,92,380,0.958,3.958,Yes,No,0,1,No
14,175,380,1.823,3.958,Yes,No,0,1,No
15,-347,376,-3.615,3.917,Yes,No,0,1,No
16,-255,376,-2.656,3.917,Yes,No,0,1,No
17,360,376,3.75,3.917,No,No,0,0,No
18,-78,375,-0.812,3.906,Yes,No,0,1,No
19,3,375,0.031,3.906,Yes,No,0,1,No
20,438,375,4.562,3.906,No,No,0,0,No
21,525,375,5.469,3.906,No,No,0,0,No
22,264,371,2.75,3.865,Yes,Yes,1,1,No
23,608,370,6.333,3.854,No,No,0,0,No
24,-182,367,-1.896,3.823,Yes,No,0,1,No
25,263,255,2.74,2.656,Yes,No,0,2,No
26,438,255,4.562,2.656,Yes,No,0,2,No
27,94,252,0.979,2.625,Yes,No,0,2,No
28,534,252,5.562,2.625,Yes,No,0,2,No
29,-86,251,-0.896,2.615,Yes,Yes,2,2,No
30,-4,251,-0.042,2.615,Yes,No,0,2,No
31,166,251,1.729,2.615,Yes,No,0,2,No
32,-168,247,-1.75,2.573,No,No,0,0,No
33,606,246,6.312,2.562,Yes,No,0,2,No
34,-353,245,-3.677,2.552,No,No,0,0,No
35,350,243,3.646,2.531,Yes,No,0,2,No
36,-251,242,-2.615,2.521,No,No,0,0,No
37,-182,131,-1.896,1.365,No,No,0,0,No
38,1,131,0.01,1.365,Yes,No,0,2,No
39,257,129,2.677,1.344,Yes,No,0,2,No
40,354,129,3.688,1.344,Yes,No,0,2,No
41,-254,128,-2.646,1.333,No,No,0,0,No
42,171,127,1.781,1.323,Yes,No,0,2,No
43,619,125,6.448,1.302,Yes,No,0,2,No
44,91,124,0.948,1.292,Yes,Yes,4,2,No
45,-76,122,-0.792,1.271,Yes,Yes,2,2,No
46,435,120,4.531,1.25,Yes,Yes,3,2,No
47,-344,118,-3.583,1.229,No,No,0,0,No
48,520,116,5.417,1.208,Yes,Yes,3,2,No
49,210,52,2.188,0.542,Yes,Yes,4,4,No
50,-264,5,-2.75,0.052,No,No,0,0,No
51,-182,5,-1.896,0.052,No,No,0,0,No
52,-90,5,-0.938,0.052,Yes,No,0,4,No
53,0,0,0.0,0.0,No,No,0,0,Yes
54,437,-1,4.552,-0.01,Yes,No,0,3,No
55,97,-3,1.01,-0.031,Yes,No,0,4,No
56,-344,-4,-3.583,-0.042,No,No,0,0,No
57,624,-4,6.5,-0.042,No,No,0,0,No
58,168,-7,1.75,-0.073,Yes,No,0,4,No
59,264,-7,2.75,-0.073,No,No,0,0,No
60,532,-7,5.542,-0.073,Yes,No,0,3,No
61,350,-9,3.646,-0.094,No,No,0,0,No
62,-350,-120,-3.646,-1.25,No,No,0,0,No
63,180,-121,1.875,-1.26,No,No,0,0,No
64,436,-121,4.542,-1.26,Yes,No,0,3,No
65,264,-124,2.75,-1.292,No,No,0,0,No
66,-8,-125,-0.083,-1.302,Yes,No,0,4,No
67,360,-126,3.75,-1.312,No,No,0,0,No
68,623,-128,6.49,-1.333,No,No,0,0,No
69,-260,-129,-2.708,-1.344,Yes,No,0,4,No
70,99,-129,1.031,-1.344,No,No,0,0,No
71,520,-130,5.417,-1.354,Yes,No,0,3,No
72,-168,-131,-1.75,-1.365,No,No,0,0,No
73,-87,-133,-0.906,-1.385,Yes,No,0,4,No
74,-2,-244,-0.021,-2.542,No,No,0,0,No
75,185,-245,1.927,-2.552,No,No,0,0,No
76,-342,-247,-3.562,-2.573,No,No,0,0,No
77,-182,-247,-1.896,-2.573,No,No,0,0,No
78,523,-248,5.448,-2.583,Yes,No,0,3,No
79,614,-248,6.396,-2.583,No,No,0,0,No
80,-91,-250,-0.948,-2.604,No,No,0,0,No
81,94,-250,0.979,-2.604,No,No,0,0,No
82,258,-250,2.688,-2.604,No,No,0,0,No
83,429,-252,4.469,-2.625,Yes,No,0,3,No
84,344,-255,3.583,-2.656,No,No,0,0,No
85,-263,-258,-2.74,-2.688,Yes,No,0,4,No
